Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,ResponseTime,
 49, 9, 49, 49, 49.767, 0.767, 12288, 0, 49.767, 50.706, 0.938, 616, 50.706, 51.666, 0.96, 18432, 0, 51.666, 52.742, 1.076, 1440, 52.742, 53.581, 0.839, 9216, 0, 53.581, 54.877, 1.296, 1350, 54.877, 55.485, 0.608, 6144, 0, 55.485, 56.819, 1.334, 1200, 56.819, 57.229, 0.41, 5120, 0,     8.229,
 50, 9, 50, 50, 50.645, 0.645, 11264, 0, 50.645, 51.385, 0.74, 580, 51.385, 52.348, 0.963, 17408, 0, 52.348, 53.407, 1.06, 1360, 53.407, 54.238, 0.83, 8192, 0, 54.238, 55.51, 1.272, 1200, 55.51, 56.059, 0.549, 5120, 0, 56.059, 57.488, 1.429, 1000, 57.488, 57.765, 0.277, 4096, 0,     7.765,
 51, 9, 51, 51, 51.77, 0.77, 13312, 0, 51.77, 52.715, 0.945, 698, 52.715, 53.549, 0.834, 20480, 0, 53.549, 54.359, 0.81, 1600, 54.359, 55.094, 0.735, 10240, 0, 55.094, 56.31, 1.217, 1500, 56.31, 57.032, 0.721, 6144, 0, 57.032, 58.334, 1.302, 1200, 58.334, 58.732, 0.399, 5120, 0,     7.732,
 52, 9, 52, 52, 52.872, 0.872, 15360, 0, 52.872, 54.015, 1.143, 779, 54.015, 54.838, 0.823, 23552, 0, 54.838, 55.775, 0.936, 1840, 55.775, 56.741, 0.966, 11264, 0, 56.741, 57.728, 0.987, 1650, 57.728, 58.432, 0.704, 7168, 0, 58.432, 59.294, 0.862, 1400, 59.294, 59.691, 0.397, 5120, 0,     7.691,
 53, 9, 53, 53, 53.873, 0.873, 14336, 0, 53.873, 54.9, 1.027, 734, 54.9, 55.733, 0.833, 22528, 0, 55.733, 56.697, 0.964, 1760, 56.697, 57.597, 0.9, 11264, 0, 57.597, 58.643, 1.046, 1650, 58.643, 59.379, 0.736, 7168, 0, 59.379, 60.247, 0.868, 1400, 60.247, 60.617, 0.369, 5120, 0,     7.617,
 54, 9, 54, 54, 55.134, 1.134, 15360, 0, 55.134, 56.172, 1.039, 760, 56.172, 57.002, 0.83, 22528, 0, 57.002, 57.952, 0.95, 1760, 57.952, 58.845, 0.894, 11264, 0, 58.845, 59.833, 0.988, 1650, 59.833, 60.665, 0.832, 7168, 0, 60.665, 61.507, 0.842, 1400, 61.507, 61.887, 0.38, 5120, 0,     7.887,
 55, 9, 55, 55, 56.107, 1.107, 14336, 0, 56.107, 57.047, 0.941, 714, 57.047, 57.92, 0.872, 21504, 0, 57.92, 58.907, 0.987, 1680, 58.907, 59.773, 0.866, 10240, 0, 59.773, 60.674, 0.901, 1500, 60.674, 61.274, 0.6, 6144, 0, 61.274, 62.208, 0.934, 1200, 62.208, 62.568, 0.361, 5120, 0,     7.568,
 56, 9, 56, 56, 56.881, 0.881, 12288, 0, 56.881, 57.853, 0.971, 647, 57.853, 58.779, 0.926, 19456, 0, 58.779, 59.799, 1.02, 1520, 59.799, 60.446, 0.647, 9216, 0, 60.446, 61.458, 1.012, 1350, 61.458, 62.078, 0.621, 6144, 0, 62.078, 62.917, 0.839, 1200, 62.917, 63.261, 0.344, 5120, 0,     7.261,
 57, 9, 57, 57, 57.952, 0.952, 14336, 0, 57.952, 58.868, 0.916, 709, 58.868, 59.664, 0.797, 21504, 0, 59.664, 60.771, 1.106, 1680, 60.771, 61.603, 0.832, 10240, 0, 61.603, 62.498, 0.896, 1500, 62.498, 63.272, 0.773, 6144, 0, 63.272, 63.974, 0.703, 1200, 63.974, 64.341, 0.366, 5120, 0,     7.341,
 58, 9, 58, 58, 58.804, 0.804, 14336, 0, 58.804, 59.917, 1.113, 748, 59.917, 60.73, 0.814, 22528, 0, 60.73, 61.673, 0.942, 1760, 61.673, 62.742, 1.069, 11264, 0, 62.742, 63.619, 0.877, 1650, 63.619, 64.403, 0.784, 7168, 0, 64.403, 65.233, 0.83, 1400, 65.233, 65.576, 0.343, 5120, 0,     7.576,
